sample_id,a_result,b_result,same
CW01,block,unknown,False
CW02,unknown,unknown,True
CW03,unknown,unknown,True
CW04,block,pass,False
CW05,pass,unknown,False
CW06,unknown,unknown,True
CW07,unknown,unknown,True
CW08,unknown,unknown,True
CW09,unknown,unknown,True
CW10,unknown,block,False
CW11,unknown,unknown,True
CW12,unknown,unknown,True
CW13,unknown,block,False
CW14,pass,pass,True
CW15,unknown,unknown,True
CW16,pass,pass,True
CW17,unknown,unknown,True
CW18,block,unknown,False
CW19,unknown,pass,False
CW20,unknown,unknown,True
CW21,pass,unknown,False
CW22,pass,unknown,False
CW23,unknown,unknown,True
CW24,pass,unknown,False
CW25,pass,pass,True
CW26,pass,unknown,False
CW27,pass,unknown,False
CW28,unknown,pass,False
CW29,pass,pass,True
CW30,unknown,pass,False
CW31,unknown,pass,False
CW32,unknown,pass,False
CW33,unknown,unknown,True
CW34,pass,unknown,False
CW35,pass,unknown,False
CW36,unknown,unknown,True
CW37,unknown,unknown,True
CW38,pass,pass,True
CW39,unknown,unknown,True
CW40,pass,unknown,False
