sample_ids,crosswalk_count,edge_id,from_node,to_node,original_edge_length_m,alternative_status,alternative_route_length_m,detour_m,alternative_ratio,is_bridge_edge,articulation_adjacent
CW37,1,OSM_E_38609097_9fdc599159,OSM_N457321111,OSM_N964928106,226.104,disconnected,,,,True,True
CW30,1,OSM_E_82908648_dd41f861af,OSM_N964926008,OSM_N3250697886,353.358,disconnected,,,,True,True
CW02,1,OSM_E_844180368_aa95498182,OSM_N7874793364,OSM_N7874793365,30.618,disconnected,,,,True,True
CW07,1,OSM_E_318729249_7861f37896,OSM_N457319139,OSM_N7814566289,25.095,alternate_route,149.534,124.439,5.9587,False,False
CW34,1,OSM_E_38609097_0e310cdf45,OSM_N457321111,OSM_N3832541730,46.935,alternate_route,248.296,201.361,5.2902,False,True
CW23,1,OSM_E_379904072_1c76f13d3f,OSM_N3832541794,OSM_N3832541997,50.54,alternate_route,259.776,209.236,5.14,False,False
CW17,1,OSM_E_380063841_07c3b9f867,OSM_N3834106183,OSM_N3834106184,64.511,alternate_route,289.434,224.923,4.4866,False,False
"CW01, CW03",2,OSM_E_589960556_35a0432f7c,OSM_N3834216628,OSM_N8974707420,184.667,alternate_route,826.881,642.214,4.4777,False,False
"CW22, CW24",2,OSM_E_38609097_cb0ee00a20,OSM_N3832541794,OSM_N3832541998,56.931,alternate_route,253.385,196.454,4.4507,False,False
CW04,1,OSM_E_915477947_d2ce447501,OSM_N3835345581,OSM_N7874793364,135.149,alternate_route,587.539,452.39,4.3473,False,True
CW16,1,OSM_E_863717799_0f4f4b11c1,OSM_N414691164,OSM_N3834106180,67.019,alternate_route,286.926,219.907,4.2813,False,False
CW31,1,OSM_E_38609097_9893769d40,OSM_N457321139,OSM_N3832541730,51.799,alternate_route,214.346,162.547,4.138,False,False
CW18,1,OSM_E_38609253_e2d86b37f3,OSM_N457321798,OSM_N457321799,65.392,alternate_route,259.38,193.988,3.9665,False,False
"CW29, CW32",2,OSM_E_82908648_e430c80696,OSM_N457321139,OSM_N964926008,101.01,alternate_route,371.635,270.625,3.6792,False,True
CW27,1,OSM_E_38609097_c3df6eaf42,OSM_N457321139,OSM_N7560864756,38.748,alternate_route,137.391,98.643,3.5458,False,False
"CW36, CW38, CW39, CW40",4,OSM_E_814055256_2a93e9941a,OSM_N457321111,OSM_N8603159952,112.635,alternate_route,360.01,247.375,3.1963,False,True
CW06,1,OSM_E_837321098_ed4fd99d32,OSM_N7814727316,OSM_N7814727319,46.624,alternate_route,128.005,81.381,2.7455,False,False
CW28,1,OSM_E_38609193_c4706d2a2b,OSM_N457321139,OSM_N3832542000,49.657,alternate_route,126.482,76.825,2.5471,False,False
CW19,1,OSM_E_38609408_86a52fcf94,OSM_N457321798,OSM_N3833822413,97.532,alternate_route,227.24,129.708,2.3299,False,False
CW21,1,OSM_E_38609292_5ee0b36cc3,OSM_N457321137,OSM_N964926878,96.89,alternate_route,221.147,124.257,2.2825,False,False
CW20,1,OSM_E_38609408_f068e9c4d0,OSM_N457320253,OSM_N3833822413,115.307,alternate_route,248.053,132.746,2.1512,False,False
"CW05, CW08, CW10",3,OSM_E_589960556_92626e3562,OSM_N4641716963,OSM_N8974707420,159.988,alternate_route,342.149,182.161,2.1386,False,False
CW14,1,OSM_E_318729248_3e52ffab14,OSM_N457319371,OSM_N11993432395,119.582,alternate_route,247.758,128.176,2.0719,False,False
CW33,1,OSM_E_379904040_1d7be2ad9f,OSM_N3832541730,OSM_N3832541731,88.293,alternate_route,177.852,89.559,2.0143,False,False
CW35,1,OSM_E_38609212_b91ebb3637,OSM_N457321111,OSM_N3832541733,100.825,alternate_route,194.406,93.581,1.9282,False,True
"CW25, CW26",2,OSM_E_38609097_9f191ff09b,OSM_N3832541794,OSM_N3832541993,110.471,alternate_route,211.334,100.863,1.913,False,False
CW13,1,OSM_E_318729204_80493379bb,OSM_N457319353,OSM_N3251003900,31.658,alternate_route,47.845,16.187,1.5113,False,False
CW09,1,OSM_E_554922640_8845d2e769,OSM_N457319139,OSM_N11993432400,87.989,alternate_route,112.006,24.017,1.273,False,False
CW15,1,OSM_E_380073444-380073445-863717799_3ae02c420e,OSM_N3834216040,OSM_N3834216616,367.605,alternate_route,380.036,12.431,1.0338,False,False
"CW11, CW12",2,OSM_E_837321092_0f4afe4715,OSM_N7814723981,OSM_N7814723982,25.735,alternate_route,21.532,-4.203,0.8367,False,False
