priority_rank,review_queue_id,review_source,review_role,source_feature_id,graph_edge_id,mapping_status,mapping_distance_m,source_year,bridge_edge,articulation_adjacent,alternative_ratio,linked_candidate_evidence_layers,temporal_gap_years,structural_score_40,spatial_uncertainty_score_30,evidence_gap_score_20,temporal_risk_score_10,review_priority_score_100,priority_band,status
1,RQ-2d466136652526a8d4a0,topographic_map_unmatched,stairs_candidate,1000037612047C03910000000000000069,OSM_E_1417492465_a7cdf32987,unmatched,12.568,2025,True,True,,0,1,40,30,20,3,93,high,advisory_unvalidated_priority; pending; verified=false; graph_update_allowed=false
2,RQ-95039b28e054e12454e3,topographic_map_unmatched,stairs_candidate,1000037612047C03910000000000000108,OSM_E_1323539454_861f3a9b41,unmatched,10.97,2025,True,True,,0,1,40,30,20,3,93,high,advisory_unvalidated_priority; pending; verified=false; graph_update_allowed=false
3,RQ-edd888a3d474beeb63ce,topographic_map_unmatched,stairs_candidate,1000037612047C03910000000000000128,OSM_E_1323539454_861f3a9b41,unmatched,13.105,2025,True,True,,0,1,40,30,20,3,93,high,advisory_unvalidated_priority; pending; verified=false; graph_update_allowed=false
4,RQ-e70bbe3a740ac8b30723,topographic_map_unmatched,pedestrian_area,1000037612037A00310000000000000018,OSM_E_969817614_15ac4285f9,unmatched,8.932,2025,True,True,,0,1,40,28,20,3,91,high,advisory_unvalidated_priority; pending; verified=false; graph_update_allowed=false
5,RQ-6dcf57a0a23e43c5c8ae,topographic_map,pedestrian_area,1000376120996A00310000000000000002,OSM_E_484348867_501ff2491d,ambiguous,5.313,2022,True,True,,0,4,40,16,20,10,86,high,advisory_unvalidated_priority; pending; verified=false; graph_update_allowed=false
6,RQ-3f9de179b52895daa555,topographic_map,pedestrian_area,1000376120994A00310000000000000037,OSM_E_380194322_5a689b96d7,ambiguous,2.709,2022,True,True,,0,4,40,12,20,10,82,high,advisory_unvalidated_priority; pending; verified=false; graph_update_allowed=false
7,RQ-d4c91a899507a2f9d96b,topographic_map,pedestrian_area,10000376120995A0031000000000000047,OSM_E_1469155089_74ab581423,ambiguous,0.0,2022,True,True,,0,4,40,12,20,10,82,high,advisory_unvalidated_priority; pending; verified=false; graph_update_allowed=false
8,RQ-0bd11a3cbd09102371a0,topographic_map_unmatched,pedestrian_area,1000037612048A00310000000000000794,OSM_E_318699995-318699998-685069353_3958fc4f58,unmatched,13.077,2025,True,True,,2,1,40,30,8,3,81,high,advisory_unvalidated_priority; pending; verified=false; graph_update_allowed=false
9,RQ-722cf9c14d4247d26cd4,topographic_map_unmatched,stairs_candidate,1000037612038C03910000000000000091,OSM_E_481148746_d88caa7016,unmatched,14.079,2025,True,True,,2,1,40,30,8,3,81,high,advisory_unvalidated_priority; pending; verified=false; graph_update_allowed=false
10,RQ-e7ec9f56ed0bc0852af3,topographic_map_unmatched,stairs_candidate,1000037612048C03910000000000000192,OSM_E_38609097_9fdc599159,unmatched,14.799,2025,True,True,,2,1,40,30,8,3,81,high,advisory_unvalidated_priority; pending; verified=false; graph_update_allowed=false
11,RQ-198726157c713d9c011e,topographic_map_unmatched,stairs_candidate,1000376120996C03910000000000000013,OSM_E_1467935154_7bb6921e0f,unmatched,13.23,2022,True,True,,3,4,40,30,0,10,80,high,advisory_unvalidated_priority; pending; verified=false; graph_update_allowed=false
12,RQ-2de3d400a4ab0bbf3a72,topographic_map_unmatched,underground_entrance_candidate,1000376120996C04610000000000000001,OSM_E_318699997_d4358e9136,unmatched,11.512,2022,False,True,5.6717,0,4,20,30,20,10,80,high,advisory_unvalidated_priority; pending; verified=false; graph_update_allowed=false
13,RQ-d8b82518f9898fbfa77b,topographic_map_unmatched,stairs_candidate,1000376120996C03910000000000000002,OSM_E_1467935154_7bb6921e0f,unmatched,12.826,2022,True,True,,3,4,40,30,0,10,80,high,advisory_unvalidated_priority; pending; verified=false; graph_update_allowed=false
14,RQ-ecbb48a8e76e12380751,topographic_map_unmatched,crossing_candidate,1000376120996A00410000000000000002,OSM_E_318699994_7e88334f11,unmatched,10.258,2022,False,True,11.9596,0,4,20,30,20,10,80,high,advisory_unvalidated_priority; pending; verified=false; graph_update_allowed=false
15,RQ-3333a6e6099dafdda45a,topographic_map,stairs_candidate,1000037612047C03910000000000000119,OSM_E_1323539454_861f3a9b41,ambiguous,3.029,2025,True,True,,0,1,40,16,20,3,79,high,advisory_unvalidated_priority; pending; verified=false; graph_update_allowed=false
16,RQ-bd8e8d8cf73074605a85,topographic_map,stairs_candidate,1000037612047C03910000000000000090,OSM_E_379904055_d0cd1f0846,ambiguous,5.379,2025,True,True,,0,1,40,16,20,3,79,high,advisory_unvalidated_priority; pending; verified=false; graph_update_allowed=false
17,RQ-17d50e4aaa7152c99242,topographic_map_unmatched,pedestrian_area,10000376120995A0031000000000000001,OSM_E_380194914_668d24ec90,unmatched,6.399,2022,True,True,,3,4,40,28,0,10,78,high,advisory_unvalidated_priority; pending; verified=false; graph_update_allowed=false
18,RQ-497b90e78afd91830c24,dem,coarse_context_only,OSM_E_1468486458_909d9db72e,OSM_E_1468486458_909d9db72e,insufficient_resolution,,2025,True,True,,0,1,40,15,20,3,78,high,advisory_unvalidated_priority; pending; verified=false; graph_update_allowed=false
19,RQ-2cfcb217a55a45b25cd2,topographic_map_unmatched,stairs_candidate,1000037612048C03910000000000000160,OSM_E_1312936379_78fd5bc82b,unmatched,13.533,2025,True,True,,3,1,40,30,0,3,73,high,advisory_unvalidated_priority; pending; verified=false; graph_update_allowed=false
20,RQ-f3d90463c786daec4843,topographic_map_unmatched,stairs_candidate,1000037612038C03910000000000000067,OSM_E_1467935154_7bb6921e0f,unmatched,13.23,2025,True,True,,3,1,40,30,0,3,73,high,advisory_unvalidated_priority; pending; verified=false; graph_update_allowed=false
21,RQ-2a1c3124c5ab3600dd3b,topographic_map_unmatched,stairs_candidate,1000037612047C03910000000000000116,OSM_E_379904066_b76b13ac6e,unmatched,8.277,2025,True,True,,3,1,40,28,0,3,71,high,advisory_unvalidated_priority; pending; verified=false; graph_update_allowed=false
22,RQ-43cdddce98b3c3a5423b,topographic_map_unmatched,stairs_candidate,1000037612048C03910000000000000222,OSM_E_1312936379_78fd5bc82b,unmatched,8.918,2025,True,True,,3,1,40,28,0,3,71,high,advisory_unvalidated_priority; pending; verified=false; graph_update_allowed=false
23,RQ-e7a48ac2856923c272d9,topographic_map_unmatched,pedestrian_area,1000037612038A00310000000000000180,OSM_E_1467935154_7bb6921e0f,unmatched,8.985,2025,True,True,,3,1,40,28,0,3,71,high,advisory_unvalidated_priority; pending; verified=false; graph_update_allowed=false
24,RQ-0d57bc3ee5e8e38369c3,topographic_map_unmatched,crossing_candidate,1000376120994A00410000000000000025,OSM_E_915477950_ab67cf4d52,unmatched,14.863,2022,False,False,10.0941,0,4,10,30,20,10,70,high,advisory_unvalidated_priority; pending; verified=false; graph_update_allowed=false
25,RQ-04997e05987bc52845ee,topographic_map_unmatched,pedestrian_area,1000037612048A00310000000000000547,OSM_E_318577513_10f292e6bc,unmatched,8.36,2025,False,True,4.3094,0,1,17,28,20,3,68,high,advisory_unvalidated_priority; pending; verified=false; graph_update_allowed=false
26,RQ-8a2b9a64eba8b1519676,topographic_map_unmatched,pedestrian_area,10000376120995A0031000000000000054,OSM_E_1469144040_c0160a1a70,unmatched,7.667,2022,False,True,1.0306,0,4,10,28,20,10,68,high,advisory_unvalidated_priority; pending; verified=false; graph_update_allowed=false
27,RQ-9ba9a0aaffdbc0195b7a,topographic_map,crossing_candidate,1000376120996A00410000000000000020,OSM_E_878652488-878652489-878652491-878652492-878652539_585a2d0492,ambiguous,0.0,2022,True,False,,1,4,30,12,15,10,67,high,advisory_unvalidated_priority; pending; verified=false; graph_update_allowed=false
28,RQ-2c88e815c5d3a001519e,topographic_map,stairs_candidate,1000376120996C03910000000000000014,OSM_E_1467935154_7bb6921e0f,ambiguous,3.552,2022,True,True,,3,4,40,16,0,10,66,high,advisory_unvalidated_priority; pending; verified=false; graph_update_allowed=false
29,RQ-7a274dde62a5bd3a9bc2,dem,coarse_context_only,OSM_E_379904050_58d3532b9b,OSM_E_379904050_58d3532b9b,insufficient_resolution,,2025,True,True,,2,1,40,15,8,3,66,high,advisory_unvalidated_priority; pending; verified=false; graph_update_allowed=false
30,RQ-041c86fc498d7c9cdfe5,topographic_map,stairs_candidate,1000037612038C03910000000000000001,OSM_E_998463203_2e001477c8,unique,0.444,2025,True,True,,1,4,40,0,15,10,65,high,advisory_unvalidated_priority; pending; verified=false; graph_update_allowed=false
31,RQ-267c3577dcacb7350519,topographic_map,stairs_candidate,1000037612038C03910000000000000061,OSM_E_380698409_5059255537,unique,0.0,2025,True,True,,1,4,40,0,15,10,65,high,advisory_unvalidated_priority; pending; verified=false; graph_update_allowed=false
32,RQ-7f8a424de5c783537b78,topographic_map,stairs_candidate,1000037612048C03910000000000000005,OSM_E_998463203_2e001477c8,unique,0.866,2025,True,True,,1,4,40,0,15,10,65,high,advisory_unvalidated_priority; pending; verified=false; graph_update_allowed=false
