edge_id,candidate_evidence_layer_count,candidate_evidence_layers,evidence_band,source_years,temporal_gap_years,dem_90m_context_available,human_verified,note
OSM_E_1150608720_f11c33de91,0,,0개 (OSM only),2026,0,True,False,공간 레이어 연결 수이며 독립적 사실 확인 수가 아님
OSM_E_1312936379_78fd5bc82b,3,공공 횡단보도;수치지형도;정사영상,3개 이상,2025;2026,1,True,False,공간 레이어 연결 수이며 독립적 사실 확인 수가 아님
OSM_E_1323539452_1fd6e87c26,0,,0개 (OSM only),2026,0,True,False,공간 레이어 연결 수이며 독립적 사실 확인 수가 아님
OSM_E_1323539452_684a872f01,0,,0개 (OSM only),2026,0,True,False,공간 레이어 연결 수이며 독립적 사실 확인 수가 아님
OSM_E_1323539453_3cf8adeb1c,0,,0개 (OSM only),2026,0,True,False,공간 레이어 연결 수이며 독립적 사실 확인 수가 아님
OSM_E_1323539454_82c82ff72f,0,,0개 (OSM only),2026,0,True,False,공간 레이어 연결 수이며 독립적 사실 확인 수가 아님
OSM_E_1323539454_861f3a9b41,0,,0개 (OSM only),2026,0,True,False,공간 레이어 연결 수이며 독립적 사실 확인 수가 아님
OSM_E_1323539455_834b368dd3,3,공공 횡단보도;수치지형도;정사영상,3개 이상,2025;2026,1,True,False,공간 레이어 연결 수이며 독립적 사실 확인 수가 아님
OSM_E_1417492465_a7cdf32987,0,,0개 (OSM only),2026,0,True,False,공간 레이어 연결 수이며 독립적 사실 확인 수가 아님
OSM_E_1432709988_dcb5debf59,1,수치지형도,1개,2022;2025;2026,4,True,False,공간 레이어 연결 수이며 독립적 사실 확인 수가 아님
OSM_E_1436606239_8cecc7903e,3,공공 횡단보도;수치지형도;정사영상,3개 이상,2025;2026,1,True,False,공간 레이어 연결 수이며 독립적 사실 확인 수가 아님
OSM_E_1467935154_7bb6921e0f,3,공공 횡단보도;수치지형도;정사영상,3개 이상,2025;2026,1,True,False,공간 레이어 연결 수이며 독립적 사실 확인 수가 아님
OSM_E_1467935157_6752fd4fa9,2,공공 횡단보도;정사영상,2개,2025;2026,1,True,False,공간 레이어 연결 수이며 독립적 사실 확인 수가 아님
OSM_E_1467935160_8e28dc95ff,1,수치지형도,1개,2025;2026,1,True,False,공간 레이어 연결 수이며 독립적 사실 확인 수가 아님
OSM_E_1468486458_909d9db72e,0,,0개 (OSM only),2026,0,True,False,공간 레이어 연결 수이며 독립적 사실 확인 수가 아님
