관리번호,횡단보도폭,횡단보도길이,관할지역,위도,경도,보도턱낮춤여부,점자블록유무
2024120001,17.32,22.11,안양6동,37.3914617,126.9275399,,
2024120002,18.31,22.89,안양5동,37.39170288,126.927343,,
2024120003,19.21,24.4,안양6동,37.39013198,126.9286705,,
2024120004,8.71,10.03,안양6동,37.39192258,126.9280985,,
2024120005,10.36,11.14,안양5동,37.39124337,126.9268113,,
2024120009,7.04,7.81,안양6동,37.39111619,126.9294984,,
2024120010,6.65,9,안양6동,37.39114972,126.9293689,,
2024120011,5.48,6.82,안양6동,37.39087295,126.9289656,,
2024120012,5.78,6.56,안양6동,37.39096094,126.9288434,,
2024120013,7.15,8.86,안양6동,37.39045276,126.9277716,,
2024120014,4.33,5.2,안양6동,37.39194966,126.9280126,,
2024120015,4.49,5.7,안양5동,37.39395784,126.9264491,,
2024120020,6.78,8.2,안양5동,37.39385231,126.9245349,,
2024120026,8.83,13.22,인덕원동,37.40131702,126.9612818,,
2024120027,6.65,12.2,인덕원동,37.40129392,126.9615967,,
2024120028,4.13,8.52,인덕원동,37.40122801,126.9613767,,
2024120029,11.06,15.64,인덕원동,37.40055307,126.9647249,,
2024120030,7.96,10.73,인덕원동,37.40066255,126.9645269,,
2024120031,5.77,11.74,관양동,37.40465079,126.9643701,,
2024120032,9.33,13.7,관양동,37.40395001,126.9606141,,
2024120033,0.67,1.76,관양동,37.40219257,126.9570966,,
2024120034,4.04,7.23,관양동,37.40495329,126.9574502,,
2024120035,5.21,11.25,관양동,37.40419905,126.9574434,,
2024120036,4.18,9.53,석수1동,37.4185348,126.9322701,,
2024120037,5.77,10.54,석수1동,37.41857326,126.9323677,,
2024120038,9.13,11.82,관양동,37.40830412,126.9714331,,
2024120039,6.64,8.36,관양동,37.40835289,126.9715786,,
2024120040,6.73,9.43,관양동,37.40842319,126.9713481,,
2024120041,10.81,14.11,관양동,37.40847217,126.971509,,
2024120042,8.16,8.71,관양동,37.40947172,126.9721819,,
2024120043,11.84,12.93,관양동,37.40966184,126.9729689,,
2024120044,7.3,8.25,관양동,37.40983469,126.9729898,,
2024120045,14.59,16.61,관양동,37.40971738,126.9727409,,
2024120046,10.79,12.97,관양동,37.40989827,126.9727817,,
2024120047,5.44,7.83,관양동,37.40570402,126.9688215,,
2024120048,6.51,7.74,관양동,37.40656472,126.9694997,,
2024120049,6.12,6.36,관양동,37.40631677,126.9692926,,
2024120050,6.43,6.48,관양동,37.40604266,126.9689822,,
2024120051,5.56,6.35,관양동,37.40594089,126.9689699,,
2024120052,6.28,6.64,관양동,37.40773573,126.9698635,,
2024120053,7.13,11.84,관양동,37.40977233,126.9674226,,
2024120054,5.62,6.93,관양동,37.40572983,126.968611,,
2024120055,3.92,4.56,관양동,37.4058222,126.9683383,,
2024120056,4.9,7.71,관양동,37.40988101,126.9669418,,
2024120057,5.89,8.48,관양동,37.40578068,126.9687747,,
2024120058,8.46,10.05,관양동,37.40669406,126.9694484,,
2024120059,16.56,16.67,관양동,37.40662879,126.9695547,,
2024120060,8.07,9.83,관양동,37.40657981,126.969681,,
2024120061,12.45,15.31,비산2동,37.3964724,126.9406564,,
2024120062,3.07,13.06,비산2동,37.39761033,126.9407452,,
2024120063,7.6,8.79,안양7동,37.39534692,126.929203,,
2024120064,5.61,6.9,안양7동,37.39568087,126.9287194,,
2024120065,2.96,3.18,안양1동,37.39981453,126.9284261,,
2024120066,15.08,16.47,안양1동,37.39911661,126.925434,,
2024120067,4.79,5.04,안양1동,37.39925534,126.9253182,,
2024120068,7.08,7.69,안양1동,37.39917057,126.9252117,,
2024120069,3.52,4.09,안양1동,37.39609669,126.9287209,,
2024120070,4.92,5.08,안양7동,37.39594767,126.9288482,,
2024120071,13.89,14.06,안양1동,37.39632773,126.9271848,,
2024120072,14.57,15.13,안양1동,37.39715731,126.9262547,,
2024120073,3.78,4.03,안양7동,37.39626325,126.9294533,,
2024120074,8.26,9.55,안양7동,37.39621807,126.9294513,,
2024120075,6.96,7.03,안양7동,37.3958733,126.9297957,,
