approach_id,sample_id,side_label,double_review_required,evidence_shot_date,pano_distance_m,roadview_link,resolved_roadview_url,pass1_reviewer,pass1_date,pass1_curb,pass1_tactile,pass1_obstacle,pass1_result,pass1_note,pass2_reviewer,pass2_date,pass2_curb,pass2_tactile,pass2_obstacle,pass2_result,pass2_note,final_ai_precheck_curb,final_ai_precheck_tactile,final_ai_precheck_obstacle,final_ai_precheck_result,final_ai_precheck_note,ai_candidate_label,ai_confidence,human_review_required,ai_human_approved,official_c_effect
CW01-A,CW01,A,True,2025-11-17 14:28:24,12.5,"https://map.kakao.com/link/roadview/37.4024015,126.9226461",https://map.kakao.com/?panoid=1202971200&pan=327.8&zoom=0&map_type=TYPE_MAP&map_attribute=ROADVIEW&urlX=482904.0&urlY=1084204.0,Codex_AI_precheck_1,2026-09-15,있음,없음,없음,block,횡단 지점은 보이지만 점자블록이 보이지 않음,Codex_AI_precheck_2,2026-09-15,있음,없음,없음,block,역순·착지부 중심 재판독에서도 점자블록 부재 후보,있음,없음,없음,block,횡단 지점은 보이지만 점자블록이 보이지 않음,tactile_absent_candidate,0.76,Y,,미반영(사람 승인 전)
CW01-B,CW01,B,True,2025-11-17 14:28:24,3.44,"https://map.kakao.com/link/roadview/37.4024484,126.9227305",https://map.kakao.com/?panoid=1202971200&pan=327.8&zoom=0&map_type=TYPE_MAP&map_attribute=ROADVIEW&urlX=482904.0&urlY=1084204.0,Codex_AI_precheck_1,2026-09-15,판독불가,판독불가,시야불충분,unknown,착지부가 카메라 직하부·화면 밖에 있어 핵심 시설을 확인할 수 없음,Codex_AI_precheck_2,2026-09-15,판독불가,판독불가,시야불충분,unknown,착지부가 카메라 직하부·화면 밖에 있어 핵심 시설을 확인할 수 없음,판독불가,판독불가,시야불충분,unknown,착지부가 카메라 직하부·화면 밖에 있어 핵심 시설을 확인할 수 없음,visibility_review_needed,0.52,Y,,미반영(사람 승인 전)
CW02-A,CW02,A,False,2025-12-01 13:09:30,18.01,"https://map.kakao.com/link/roadview/37.4022411,126.9216533",https://map.kakao.com/?panoid=1203476225&pan=326.4&zoom=0&map_type=TYPE_MAP&map_attribute=ROADVIEW&urlX=482616.0&urlY=1084126.0,Codex_AI_precheck_1,2026-09-15,판독불가,판독불가,지오메트리불일치,unknown,접근부 추정점과 영상의 실제 횡단 착지부가 정합하지 않음,,,,,,,,판독불가,판독불가,지오메트리불일치,unknown,접근부 추정점과 영상의 실제 횡단 착지부가 정합하지 않음,geometry_mismatch_candidate,0.58,Y,,미반영(사람 승인 전)
CW02-B,CW02,B,False,2025-12-01 13:09:30,14.06,"https://map.kakao.com/link/roadview/37.4022677,126.9215795",https://map.kakao.com/?panoid=1203476225&pan=326.4&zoom=0&map_type=TYPE_MAP&map_attribute=ROADVIEW&urlX=482616.0&urlY=1084126.0,Codex_AI_precheck_1,2026-09-15,판독불가,판독불가,지오메트리불일치,unknown,접근부 추정점과 영상의 실제 횡단 착지부가 정합하지 않음,,,,,,,,판독불가,판독불가,지오메트리불일치,unknown,접근부 추정점과 영상의 실제 횡단 착지부가 정합하지 않음,geometry_mismatch_candidate,0.58,Y,,미반영(사람 승인 전)
CW03-A,CW03,A,True,2025-11-17 14:28:34,7.59,"https://map.kakao.com/link/roadview/37.4030023,126.9222590",https://map.kakao.com/?panoid=1202971207&pan=327.3&zoom=0&map_type=TYPE_MAP&map_attribute=ROADVIEW&urlX=482811.0&urlY=1084352.0,Codex_AI_precheck_1,2026-09-15,판독불가,판독불가,차량/적치물가림,unknown,차량·적치물 또는 공사물로 핵심 시설이 가려짐,Codex_AI_precheck_2,2026-09-15,판독불가,판독불가,차량/적치물가림,unknown,차량·적치물 또는 공사물로 핵심 시설이 가려짐,판독불가,판독불가,차량/적치물가림,unknown,차량·적치물 또는 공사물로 핵심 시설이 가려짐,occlusion_review_needed,0.52,Y,,미반영(사람 승인 전)
CW03-B,CW03,B,True,2025-11-17 14:28:34,5.11,"https://map.kakao.com/link/roadview/37.4030385,126.9223242",https://map.kakao.com/?panoid=1202971207&pan=327.3&zoom=0&map_type=TYPE_MAP&map_attribute=ROADVIEW&urlX=482811.0&urlY=1084352.0,Codex_AI_precheck_1,2026-09-15,판독불가,판독불가,지오메트리불일치,unknown,접근부 추정점과 영상의 실제 횡단 착지부가 정합하지 않음,Codex_AI_precheck_2,2026-09-15,판독불가,판독불가,지오메트리불일치,unknown,접근부 추정점과 영상의 실제 횡단 착지부가 정합하지 않음,판독불가,판독불가,지오메트리불일치,unknown,접근부 추정점과 영상의 실제 횡단 착지부가 정합하지 않음,geometry_mismatch_candidate,0.58,Y,,미반영(사람 승인 전)
CW04-A,CW04,A,False,2025-12-01 13:09:31,6.44,"https://map.kakao.com/link/roadview/37.4022197,126.9213442",https://map.kakao.com/?panoid=1203476229&pan=326.3&zoom=0&map_type=TYPE_MAP&map_attribute=ROADVIEW&urlX=482602.0&urlY=1084147.0,Codex_AI_precheck_1,2026-09-15,판독불가,판독불가,공사,block,횡단 진행 방향이 공사 가림막으로 막힌 후보,,,,,,,,판독불가,판독불가,공사,block,횡단 진행 방향이 공사 가림막으로 막힌 후보,construction_block_candidate,0.82,Y,,미반영(사람 승인 전)
CW04-B,CW04,B,False,2025-12-01 13:09:31,8.52,"https://map.kakao.com/link/roadview/37.4022967,126.9214828",https://map.kakao.com/?panoid=1203476229&pan=326.3&zoom=0&map_type=TYPE_MAP&map_attribute=ROADVIEW&urlX=482602.0&urlY=1084147.0,Codex_AI_precheck_1,2026-09-15,있음,있음,없음,pass,경사로와 점자블록이 보이고 통행공간이 열려 있음,,,,,,,,있음,있음,없음,pass,경사로와 점자블록이 보이고 통행공간이 열려 있음,likely_accessible_candidate,0.82,Y,,미반영(사람 승인 전)
CW05-A,CW05,A,True,2025-11-17 14:28:18,7.78,"https://map.kakao.com/link/roadview/37.4021576,126.9229168",https://map.kakao.com/?panoid=1202971196&pan=327.5&zoom=0&map_type=TYPE_MAP&map_attribute=ROADVIEW&urlX=482957.0&urlY=1084120.0,Codex_AI_precheck_1,2026-09-15,있음,있음,없음,pass,경사로와 점자블록이 보이고 통행공간이 열려 있음,Codex_AI_precheck_2,2026-09-15,있음,있음,없음,pass,역순·착지부 중심 재판독에서 경사로와 점자블록을 확인,있음,있음,없음,pass,경사로와 점자블록이 보이고 통행공간이 열려 있음,likely_accessible_candidate,0.82,Y,,미반영(사람 승인 전)
CW05-B,CW05,B,True,2025-11-17 14:28:18,4.33,"https://map.kakao.com/link/roadview/37.4021979,126.9229954",https://map.kakao.com/?panoid=1202971196&pan=327.5&zoom=0&map_type=TYPE_MAP&map_attribute=ROADVIEW&urlX=482957.0&urlY=1084120.0,Codex_AI_precheck_1,2026-09-15,판독불가,판독불가,시야불충분,unknown,착지부가 카메라 직하부·화면 밖에 있어 핵심 시설을 확인할 수 없음,Codex_AI_precheck_2,2026-09-15,판독불가,판독불가,시야불충분,unknown,착지부가 카메라 직하부·화면 밖에 있어 핵심 시설을 확인할 수 없음,판독불가,판독불가,시야불충분,unknown,착지부가 카메라 직하부·화면 밖에 있어 핵심 시설을 확인할 수 없음,visibility_review_needed,0.52,Y,,미반영(사람 승인 전)
CW06-A,CW06,A,False,2025-12-01 14:54:27,7.79,"https://map.kakao.com/link/roadview/37.4017671,126.9216657",https://map.kakao.com/?panoid=1203482543&pan=57.9&zoom=0&map_type=TYPE_MAP&map_attribute=ROADVIEW&urlX=482642.0&urlY=1084005.0,Codex_AI_precheck_1,2026-09-15,판독불가,판독불가,차량/적치물가림,unknown,차량·적치물 또는 공사물로 핵심 시설이 가려짐,,,,,,,,판독불가,판독불가,차량/적치물가림,unknown,차량·적치물 또는 공사물로 핵심 시설이 가려짐,occlusion_review_needed,0.52,Y,,미반영(사람 승인 전)
CW06-B,CW06,B,False,2025-12-01 14:54:27,11.18,"https://map.kakao.com/link/roadview/37.4018449,126.9215863",https://map.kakao.com/?panoid=1203482543&pan=57.9&zoom=0&map_type=TYPE_MAP&map_attribute=ROADVIEW&urlX=482642.0&urlY=1084005.0,Codex_AI_precheck_1,2026-09-15,판독불가,판독불가,차량/적치물가림,unknown,차량·적치물 또는 공사물로 핵심 시설이 가려짐,,,,,,,,판독불가,판독불가,차량/적치물가림,unknown,차량·적치물 또는 공사물로 핵심 시설이 가려짐,occlusion_review_needed,0.52,Y,,미반영(사람 승인 전)
CW07-A,CW07,A,True,2025-12-01 13:09:25,10.14,"https://map.kakao.com/link/roadview/37.4017233,126.9217302",https://map.kakao.com/?panoid=1203476201&pan=325.8&zoom=0&map_type=TYPE_MAP&map_attribute=ROADVIEW&urlX=482700.0&urlY=1084002.0,Codex_AI_precheck_1,2026-09-15,판독불가,판독불가,지오메트리불일치,unknown,접근부 추정점과 영상의 실제 횡단 착지부가 정합하지 않음,Codex_AI_precheck_2,2026-09-15,판독불가,판독불가,지오메트리불일치,unknown,접근부 추정점과 영상의 실제 횡단 착지부가 정합하지 않음,판독불가,판독불가,지오메트리불일치,unknown,접근부 추정점과 영상의 실제 횡단 착지부가 정합하지 않음,geometry_mismatch_candidate,0.58,Y,,미반영(사람 승인 전)
CW07-B,CW07,B,True,2025-12-01 13:09:25,4.46,"https://map.kakao.com/link/roadview/37.4017508,126.9217986",https://map.kakao.com/?panoid=1203476201&pan=325.8&zoom=0&map_type=TYPE_MAP&map_attribute=ROADVIEW&urlX=482700.0&urlY=1084002.0,Codex_AI_precheck_1,2026-09-15,판독불가,판독불가,지오메트리불일치,unknown,접근부 추정점과 영상의 실제 횡단 착지부가 정합하지 않음,Codex_AI_precheck_2,2026-09-15,판독불가,판독불가,지오메트리불일치,unknown,접근부 추정점과 영상의 실제 횡단 착지부가 정합하지 않음,판독불가,판독불가,지오메트리불일치,unknown,접근부 추정점과 영상의 실제 횡단 착지부가 정합하지 않음,geometry_mismatch_candidate,0.58,Y,,미반영(사람 승인 전)
CW08-A,CW08,A,False,2025-11-17 14:28:06,5.99,"https://map.kakao.com/link/roadview/37.4015163,126.9234502",https://map.kakao.com/?panoid=1202971188&pan=326.1&zoom=0&map_type=TYPE_MAP&map_attribute=ROADVIEW&urlX=483066.0&urlY=1083952.0,Codex_AI_precheck_1,2026-09-15,판독불가,판독불가,차량/적치물가림,unknown,차량·적치물 또는 공사물로 핵심 시설이 가려짐,,,,,,,,판독불가,판독불가,차량/적치물가림,unknown,차량·적치물 또는 공사물로 핵심 시설이 가려짐,occlusion_review_needed,0.52,Y,,미반영(사람 승인 전)
CW08-B,CW08,B,False,2025-11-17 14:28:06,1.9,"https://map.kakao.com/link/roadview/37.4015517,126.9235192",https://map.kakao.com/?panoid=1202971188&pan=326.1&zoom=0&map_type=TYPE_MAP&map_attribute=ROADVIEW&urlX=483066.0&urlY=1083952.0,Codex_AI_precheck_1,2026-09-15,판독불가,판독불가,시야불충분,unknown,착지부가 카메라 직하부·화면 밖에 있어 핵심 시설을 확인할 수 없음,,,,,,,,판독불가,판독불가,시야불충분,unknown,착지부가 카메라 직하부·화면 밖에 있어 핵심 시설을 확인할 수 없음,visibility_review_needed,0.52,Y,,미반영(사람 승인 전)
CW09-A,CW09,A,True,2025-11-18 11:48:15,5.53,"https://map.kakao.com/link/roadview/37.4012456,126.9222473",https://map.kakao.com/?panoid=1202871501&pan=287.0&zoom=0&map_type=TYPE_MAP&map_attribute=ROADVIEW&urlX=482792.0&urlY=1083853.0,Codex_AI_precheck_1,2026-09-15,판독불가,판독불가,지오메트리불일치,unknown,접근부 추정점과 영상의 실제 횡단 착지부가 정합하지 않음,Codex_AI_precheck_2,2026-09-15,판독불가,판독불가,지오메트리불일치,unknown,접근부 추정점과 영상의 실제 횡단 착지부가 정합하지 않음,판독불가,판독불가,지오메트리불일치,unknown,접근부 추정점과 영상의 실제 횡단 착지부가 정합하지 않음,geometry_mismatch_candidate,0.58,Y,,미반영(사람 승인 전)
CW09-B,CW09,B,True,2025-12-01 13:09:18,6.57,"https://map.kakao.com/link/roadview/37.4012922,126.9223251",https://map.kakao.com/?panoid=1203476172&pan=320.5&zoom=0&map_type=TYPE_MAP&map_attribute=ROADVIEW&urlX=482806.0&urlY=1083863.0,Codex_AI_precheck_1,2026-09-15,판독불가,판독불가,지오메트리불일치,unknown,접근부 추정점과 영상의 실제 횡단 착지부가 정합하지 않음,Codex_AI_precheck_2,2026-09-15,판독불가,판독불가,지오메트리불일치,unknown,접근부 추정점과 영상의 실제 횡단 착지부가 정합하지 않음,판독불가,판독불가,지오메트리불일치,unknown,접근부 추정점과 영상의 실제 횡단 착지부가 정합하지 않음,geometry_mismatch_candidate,0.58,Y,,미반영(사람 승인 전)
CW10-A,CW10,A,False,2025-11-17 14:28:00,5.56,"https://map.kakao.com/link/roadview/37.4012278,126.9236803",https://map.kakao.com/?panoid=1202971184&pan=327.6&zoom=0&map_type=TYPE_MAP&map_attribute=ROADVIEW&urlX=483119.0&urlY=1083867.0,Codex_AI_precheck_1,2026-09-15,판독불가,판독불가,차량/적치물가림,unknown,차량·적치물 또는 공사물로 핵심 시설이 가려짐,,,,,,,,판독불가,판독불가,차량/적치물가림,unknown,차량·적치물 또는 공사물로 핵심 시설이 가려짐,occlusion_review_needed,0.52,Y,,미반영(사람 승인 전)
CW10-B,CW10,B,False,2025-11-17 14:28:00,4.13,"https://map.kakao.com/link/roadview/37.4012772,126.9237673",https://map.kakao.com/?panoid=1202971184&pan=327.6&zoom=0&map_type=TYPE_MAP&map_attribute=ROADVIEW&urlX=483119.0&urlY=1083867.0,Codex_AI_precheck_1,2026-09-15,있음,없음,없음,block,횡단 지점은 보이지만 점자블록이 보이지 않음,,,,,,,,있음,없음,없음,block,횡단 지점은 보이지만 점자블록이 보이지 않음,tactile_absent_candidate,0.76,Y,,미반영(사람 승인 전)
