approach_id,sample_id,side_label,target_lat,target_lon,panoid,pano_lat,pano_lon,pano_distance_m,target_bearing_deg,pano_angle_deg,face,face_delta_deg,shot_date,roadview_link,resolved_url,node_url,status,target_image_path
CW01-A,CW01,A,37.40240149538004,126.92264614190194,1202971200,37.4024623687698,126.922765149926,12.5,237.2,327.8,right,-0.6,2025-11-17 14:28:24,"https://map.kakao.com/link/roadview/37.4024015,126.9226461",https://map.kakao.com/?panoid=1202971200&pan=327.8&zoom=0&map_type=TYPE_MAP&map_attribute=ROADVIEW&urlX=482904.0&urlY=1084204.0,https://rv.map.kakao.com/roadview-search/v2/node/1202971200?SERVICE=csspano,downloaded,/workspace/scratch/0ad8d7d5b1e3/onway_corridor_mvp/roadview_evidence/approaches/CW01-A/target.jpg
CW01-B,CW01,B,37.40244836461997,126.92273045809807,1202971200,37.4024623687698,126.922765149926,3.44,243.1,327.8,right,5.3,2025-11-17 14:28:24,"https://map.kakao.com/link/roadview/37.4024484,126.9227305",https://map.kakao.com/?panoid=1202971200&pan=327.8&zoom=0&map_type=TYPE_MAP&map_attribute=ROADVIEW&urlX=482904.0&urlY=1084204.0,https://rv.map.kakao.com/roadview-search/v2/node/1202971200?SERVICE=csspano,downloaded,/workspace/scratch/0ad8d7d5b1e3/onway_corridor_mvp/roadview_evidence/approaches/CW01-B/target.jpg
CW02-A,CW02,A,37.402241089845866,126.9216533145511,1203476225,37.4021803934224,126.921464342594,18.01,68.0,326.4,left,11.6,2025-12-01 13:09:30,"https://map.kakao.com/link/roadview/37.4022411,126.9216533",https://map.kakao.com/?panoid=1203476225&pan=326.4&zoom=0&map_type=TYPE_MAP&map_attribute=ROADVIEW&urlX=482616.0&urlY=1084126.0,https://rv.map.kakao.com/roadview-search/v2/node/1203476225?SERVICE=csspano,downloaded,/workspace/scratch/0ad8d7d5b1e3/onway_corridor_mvp/roadview_evidence/approaches/CW02-A/target.jpg
CW02-B,CW02,B,37.40226767015414,126.92157948544892,1203476225,37.4021803934224,126.921464342594,14.06,46.3,326.4,left,-10.1,2025-12-01 13:09:30,"https://map.kakao.com/link/roadview/37.4022677,126.9215795",https://map.kakao.com/?panoid=1203476225&pan=326.4&zoom=0&map_type=TYPE_MAP&map_attribute=ROADVIEW&urlX=482616.0&urlY=1084126.0,https://rv.map.kakao.com/roadview-search/v2/node/1203476225?SERVICE=csspano,downloaded,/workspace/scratch/0ad8d7d5b1e3/onway_corridor_mvp/roadview_evidence/approaches/CW02-B/target.jpg
CW03-A,CW03,A,37.40300229204492,126.92225900640435,1202971207,37.4029954975179,126.922344452367,7.59,275.7,327.3,right,38.4,2025-11-17 14:28:34,"https://map.kakao.com/link/roadview/37.4030023,126.9222590",https://map.kakao.com/?panoid=1202971207&pan=327.3&zoom=0&map_type=TYPE_MAP&map_attribute=ROADVIEW&urlX=482811.0&urlY=1084352.0,https://rv.map.kakao.com/roadview-search/v2/node/1202971207?SERVICE=csspano,downloaded,/workspace/scratch/0ad8d7d5b1e3/onway_corridor_mvp/roadview_evidence/approaches/CW03-A/target.jpg
CW03-B,CW03,B,37.40303852795509,126.92232419359563,1202971207,37.4029954975179,126.922344452367,5.11,339.5,327.3,front,12.2,2025-11-17 14:28:34,"https://map.kakao.com/link/roadview/37.4030385,126.9223242",https://map.kakao.com/?panoid=1202971207&pan=327.3&zoom=0&map_type=TYPE_MAP&map_attribute=ROADVIEW&urlX=482811.0&urlY=1084352.0,https://rv.map.kakao.com/roadview-search/v2/node/1202971207?SERVICE=csspano,downloaded,/workspace/scratch/0ad8d7d5b1e3/onway_corridor_mvp/roadview_evidence/approaches/CW03-B/target.jpg
CW04-A,CW04,A,37.402219732308936,126.92134421014717,1203476229,37.4022560370947,126.921401015828,6.44,231.2,326.3,right,-5.1,2025-12-01 13:09:31,"https://map.kakao.com/link/roadview/37.4022197,126.9213442",https://map.kakao.com/?panoid=1203476229&pan=326.3&zoom=0&map_type=TYPE_MAP&map_attribute=ROADVIEW&urlX=482602.0&urlY=1084147.0,https://rv.map.kakao.com/roadview-search/v2/node/1203476229?SERVICE=csspano,downloaded,/workspace/scratch/0ad8d7d5b1e3/onway_corridor_mvp/roadview_evidence/approaches/CW04-A/target.jpg
CW04-B,CW04,B,37.402296707691065,126.92148278985283,1203476229,37.4022560370947,126.921401015828,8.52,58.0,326.3,left,1.7,2025-12-01 13:09:31,"https://map.kakao.com/link/roadview/37.4022967,126.9214828",https://map.kakao.com/?panoid=1203476229&pan=326.3&zoom=0&map_type=TYPE_MAP&map_attribute=ROADVIEW&urlX=482602.0&urlY=1084147.0,https://rv.map.kakao.com/roadview-search/v2/node/1203476229?SERVICE=csspano,downloaded,/workspace/scratch/0ad8d7d5b1e3/onway_corridor_mvp/roadview_evidence/approaches/CW04-B/target.jpg
CW05-A,CW05,A,37.40215763504363,126.92291684588432,1202971196,37.4021597821288,126.923004898361,7.78,268.2,327.5,right,30.7,2025-11-17 14:28:18,"https://map.kakao.com/link/roadview/37.4021576,126.9229168",https://map.kakao.com/?panoid=1202971196&pan=327.5&zoom=0&map_type=TYPE_MAP&map_attribute=ROADVIEW&urlX=482957.0&urlY=1084120.0,https://rv.map.kakao.com/roadview-search/v2/node/1202971196?SERVICE=csspano,downloaded,/workspace/scratch/0ad8d7d5b1e3/onway_corridor_mvp/roadview_evidence/approaches/CW05-A/target.jpg
CW05-B,CW05,B,37.40219794495638,126.92299535411566,1202971196,37.4021597821288,126.923004898361,4.33,348.8,327.5,front,21.3,2025-11-17 14:28:18,"https://map.kakao.com/link/roadview/37.4021979,126.9229954",https://map.kakao.com/?panoid=1202971196&pan=327.5&zoom=0&map_type=TYPE_MAP&map_attribute=ROADVIEW&urlX=482957.0&urlY=1084120.0,https://rv.map.kakao.com/roadview-search/v2/node/1202971196?SERVICE=csspano,downloaded,/workspace/scratch/0ad8d7d5b1e3/onway_corridor_mvp/roadview_evidence/approaches/CW05-B/target.jpg
CW06-A,CW06,A,37.4017671465952,126.92166571676718,1203482543,37.4017443775739,126.921582257068,7.79,71.0,57.9,front,13.1,2025-12-01 14:54:27,"https://map.kakao.com/link/roadview/37.4017671,126.9216657",https://map.kakao.com/?panoid=1203482543&pan=57.9&zoom=0&map_type=TYPE_MAP&map_attribute=ROADVIEW&urlX=482642.0&urlY=1084005.0,https://rv.map.kakao.com/roadview-search/v2/node/1203482543?SERVICE=csspano,downloaded,/workspace/scratch/0ad8d7d5b1e3/onway_corridor_mvp/roadview_evidence/approaches/CW06-A/target.jpg
CW06-B,CW06,B,37.401844893404814,126.92158628323284,1203482543,37.4017443775739,126.921582257068,11.18,1.8,57.9,right,33.9,2025-12-01 14:54:27,"https://map.kakao.com/link/roadview/37.4018449,126.9215863",https://map.kakao.com/?panoid=1203482543&pan=57.9&zoom=0&map_type=TYPE_MAP&map_attribute=ROADVIEW&urlX=482642.0&urlY=1084005.0,https://rv.map.kakao.com/roadview-search/v2/node/1203482543?SERVICE=csspano,downloaded,/workspace/scratch/0ad8d7d5b1e3/onway_corridor_mvp/roadview_evidence/approaches/CW06-B/target.jpg
CW07-A,CW07,A,37.40172334566271,126.92173024130342,1203476201,37.4017337388158,126.921844293025,10.14,263.5,325.8,right,27.7,2025-12-01 13:09:25,"https://map.kakao.com/link/roadview/37.4017233,126.9217302",https://map.kakao.com/?panoid=1203476201&pan=325.8&zoom=0&map_type=TYPE_MAP&map_attribute=ROADVIEW&urlX=482700.0&urlY=1084002.0,https://rv.map.kakao.com/roadview-search/v2/node/1203476201?SERVICE=csspano,downloaded,/workspace/scratch/0ad8d7d5b1e3/onway_corridor_mvp/roadview_evidence/approaches/CW07-A/target.jpg
