approach_id,sample_id,management_id,side_label,lat,lon,center_lat,center_lon,source_scope,public_state,public_curb_lowering,public_tactile,geometry_quality,road_snap_distance_m,crosswalk_length_m,crosswalk_width_m,double_review_required,review_status,reviewer_1,review_1_date,review_1_curb,review_1_tactile,review_1_obstacle,review_1_result,review_1_note,reviewer_2,review_2_date,review_2_curb,review_2_tactile,review_2_obstacle,review_2_result,review_2_note,adjudication,ai_candidate_label,ai_confidence,ai_human_approved,evidence_date,evidence_url,ai_precheck_result,ai_precheck_note,ai_precheck_pass2_status
CW01-A,CW01,2024121199,A,37.40240149538004,126.92264614190194,37.40242493,126.9226883,asset_level_inherited_not_endpoint_verified,unknown,,,provisional_high,5.35,9.08,4.98,True,ai_precheck_complete_pending_human_review,,,,,,,,,,,,,,,,tactile_absent_candidate,0.76,,2025-11-17 14:28:24,"https://map.kakao.com/link/roadview/37.4024015,126.9226461",block,횡단 지점은 보이지만 점자블록이 보이지 않음,완료
CW01-B,CW01,2024121199,B,37.40244836461997,126.92273045809807,37.40242493,126.9226883,asset_level_inherited_not_endpoint_verified,unknown,,,provisional_high,5.35,9.08,4.98,True,ai_precheck_complete_pending_human_review,,,,,,,,,,,,,,,,visibility_review_needed,0.52,,2025-11-17 14:28:24,"https://map.kakao.com/link/roadview/37.4024484,126.9227305",unknown,착지부가 카메라 직하부·화면 밖에 있어 핵심 시설을 확인할 수 없음,완료
CW02-A,CW02,2024121207,A,37.402241089845866,126.9216533145511,37.40225438,126.9216164,asset_level_inherited_not_endpoint_verified,unknown,,,provisional_high,0.64,7.16,4.12,False,ai_precheck_complete_pending_human_review,,,,,,,,,,,,,,,,geometry_mismatch_candidate,0.58,,2025-12-01 13:09:30,"https://map.kakao.com/link/roadview/37.4022411,126.9216533",unknown,접근부 추정점과 영상의 실제 횡단 착지부가 정합하지 않음,비대상
CW02-B,CW02,2024121207,B,37.40226767015414,126.92157948544892,37.40225438,126.9216164,asset_level_inherited_not_endpoint_verified,unknown,,,provisional_high,0.64,7.16,4.12,False,ai_precheck_complete_pending_human_review,,,,,,,,,,,,,,,,geometry_mismatch_candidate,0.58,,2025-12-01 13:09:30,"https://map.kakao.com/link/roadview/37.4022677,126.9215795",unknown,접근부 추정점과 영상의 실제 횡단 착지부가 정합하지 않음,비대상
CW03-A,CW03,2024121198,A,37.40300229204492,126.92225900640435,37.40302041,126.9222916,asset_level_inherited_not_endpoint_verified,unknown,,,provisional_high,3.4,7.02,6.48,True,ai_precheck_complete_pending_human_review,,,,,,,,,,,,,,,,occlusion_review_needed,0.52,,2025-11-17 14:28:34,"https://map.kakao.com/link/roadview/37.4030023,126.9222590",unknown,차량·적치물 또는 공사물로 핵심 시설이 가려짐,완료
CW03-B,CW03,2024121198,B,37.40303852795509,126.92232419359563,37.40302041,126.9222916,asset_level_inherited_not_endpoint_verified,unknown,,,provisional_high,3.4,7.02,6.48,True,ai_precheck_complete_pending_human_review,,,,,,,,,,,,,,,,geometry_mismatch_candidate,0.58,,2025-11-17 14:28:34,"https://map.kakao.com/link/roadview/37.4030385,126.9223242",unknown,접근부 추정점과 영상의 실제 횡단 착지부가 정합하지 않음,완료
CW04-A,CW04,2024121191,A,37.402219732308936,126.92134421014717,37.40225822,126.9214135,asset_level_inherited_not_endpoint_verified,unknown,,,provisional_high,4.72,14.92,14.37,False,ai_precheck_complete_pending_human_review,,,,,,,,,,,,,,,,construction_block_candidate,0.82,,2025-12-01 13:09:31,"https://map.kakao.com/link/roadview/37.4022197,126.9213442",block,횡단 진행 방향이 공사 가림막으로 막힌 후보,비대상
CW04-B,CW04,2024121191,B,37.402296707691065,126.92148278985283,37.40225822,126.9214135,asset_level_inherited_not_endpoint_verified,unknown,,,provisional_high,4.72,14.92,14.37,False,ai_precheck_complete_pending_human_review,,,,,,,,,,,,,,,,likely_accessible_candidate,0.82,,2025-12-01 13:09:31,"https://map.kakao.com/link/roadview/37.4022967,126.9214828",pass,경사로와 점자블록이 보이고 통행공간이 열려 있음,비대상
CW05-A,CW05,2024121201,A,37.40215763504363,126.92291684588432,37.40217779,126.9229561,asset_level_inherited_not_endpoint_verified,unknown,,,provisional_high,0.47,8.25,7.71,True,ai_precheck_complete_pending_human_review,,,,,,,,,,,,,,,,likely_accessible_candidate,0.82,,2025-11-17 14:28:18,"https://map.kakao.com/link/roadview/37.4021576,126.9229168",pass,경사로와 점자블록이 보이고 통행공간이 열려 있음,완료
CW05-B,CW05,2024121201,B,37.40219794495638,126.92299535411566,37.40217779,126.9229561,asset_level_inherited_not_endpoint_verified,unknown,,,provisional_high,0.47,8.25,7.71,True,ai_precheck_complete_pending_human_review,,,,,,,,,,,,,,,,visibility_review_needed,0.52,,2025-11-17 14:28:18,"https://map.kakao.com/link/roadview/37.4021979,126.9229954",unknown,착지부가 카메라 직하부·화면 밖에 있어 핵심 시설을 확인할 수 없음,완료
