sample_id,management_id,proxy_edge_id,osm_way_id,highway,road_name,snap_distance_m,public_state,a_policy,b_policy,c_policy,mapping_scope
CW01,2024121199,W589960556_S7,589960556,residential,태평로,5.35,unknown,base distance,x1.15,same as B until an AI candidate is human-approved,OSM centerline proxy; not a surveyed crossing edge
CW02,2024121207,W844180368_S0,844180368,service,,0.64,unknown,base distance,x1.15,same as B until an AI candidate is human-approved,OSM centerline proxy; not a surveyed crossing edge
CW03,2024121198,W589960556_S7,589960556,residential,태평로,3.4,unknown,base distance,x1.15,same as B until an AI candidate is human-approved,OSM centerline proxy; not a surveyed crossing edge
CW04,2024121191,W915477947_S2,915477947,tertiary,만안로,4.72,unknown,base distance,x1.15,same as B until an AI candidate is human-approved,OSM centerline proxy; not a surveyed crossing edge
CW05,2024121201,W589960556_S6,589960556,residential,태평로,0.47,unknown,base distance,x1.15,same as B until an AI candidate is human-approved,OSM centerline proxy; not a surveyed crossing edge
CW06,2024121072,W837321098_S0,837321098,residential,만안로,1.4,unknown,base distance,x1.15,same as B until an AI candidate is human-approved,OSM centerline proxy; not a surveyed crossing edge
CW07,2024121209,W318729249_S0,318729249,tertiary,만안로223번길,3.53,unknown,base distance,x1.15,same as B until an AI candidate is human-approved,OSM centerline proxy; not a surveyed crossing edge
CW08,2024121206,W589960556_S6,589960556,residential,태평로,0.44,unknown,base distance,x1.15,same as B until an AI candidate is human-approved,OSM centerline proxy; not a surveyed crossing edge
CW09,2024121203,W554922640_S1,554922640,tertiary,만안로,0.58,unknown,base distance,x1.15,same as B until an AI candidate is human-approved,OSM centerline proxy; not a surveyed crossing edge
CW10,2024121208,W589960556_S5,589960556,residential,태평로,1.35,unknown,base distance,x1.15,same as B until an AI candidate is human-approved,OSM centerline proxy; not a surveyed crossing edge
CW11,2024121196,W837321092_S6,837321092,service,,4.77,unknown,base distance,x1.15,same as B until an AI candidate is human-approved,OSM centerline proxy; not a surveyed crossing edge
CW12,2024121197,W837321092_S6,837321092,service,,0.96,unknown,base distance,x1.15,same as B until an AI candidate is human-approved,OSM centerline proxy; not a surveyed crossing edge
CW13,2024121190,W318729204_S2,318729204,tertiary,,1.68,unknown,base distance,x1.15,same as B until an AI candidate is human-approved,OSM centerline proxy; not a surveyed crossing edge
CW14,2024120086,W318729248_S38,318729248,tertiary,만안로,0.47,unknown,base distance,x1.15,same as B until an AI candidate is human-approved,OSM centerline proxy; not a surveyed crossing edge
CW15,2024122521,W380073444_S0,380073444,tertiary,일번가지하차도,0.73,unknown,base distance,x1.15,same as B until an AI candidate is human-approved,OSM centerline proxy; not a surveyed crossing edge
CW16,2024122517,W863717799_S8,863717799,tertiary,장내로,1.36,unknown,base distance,x1.15,same as B until an AI candidate is human-approved,OSM centerline proxy; not a surveyed crossing edge
CW17,2024122512,W380063841_S0,380063841,residential,안양로268번길,0.19,unknown,base distance,x1.15,same as B until an AI candidate is human-approved,OSM centerline proxy; not a surveyed crossing edge
CW18,2024122514,W38609253_S0,38609253,residential,안양로258번길,0.86,unknown,base distance,x1.15,same as B until an AI candidate is human-approved,OSM centerline proxy; not a surveyed crossing edge
CW19,2024120083,W38609408_S8,38609408,tertiary,안양로,0.55,unknown,base distance,x1.15,same as B until an AI candidate is human-approved,OSM centerline proxy; not a surveyed crossing edge
CW20,2024120362,W38609408_S9,38609408,tertiary,안양로,2.18,unknown,base distance,x1.15,same as B until an AI candidate is human-approved,OSM centerline proxy; not a surveyed crossing edge
CW21,2025085034,W38609292_S2,38609292,tertiary,삼덕로,0.34,public_explicit_present,base distance,x1.00,same as B until an AI candidate is human-approved,OSM centerline proxy; not a surveyed crossing edge
CW22,2025085029,W38609097_S14,38609097,tertiary,냉천로,4.12,public_explicit_present,base distance,x1.00,same as B until an AI candidate is human-approved,OSM centerline proxy; not a surveyed crossing edge
CW23,2025085023,W379904072_S3,379904072,residential,안양로223번길,0.55,public_explicit_present,base distance,x1.00,same as B until an AI candidate is human-approved,OSM centerline proxy; not a surveyed crossing edge
CW24,2025085028,W38609097_S14,38609097,tertiary,냉천로,14.39,public_explicit_present,base distance,x1.00,same as B until an AI candidate is human-approved,OSM centerline proxy; not a surveyed crossing edge
CW25,2025085030,W38609097_S13,38609097,tertiary,냉천로,4.39,public_explicit_present,base distance,x1.00,same as B until an AI candidate is human-approved,OSM centerline proxy; not a surveyed crossing edge
CW26,2025085031,W38609097_S10,38609097,tertiary,냉천로,3.09,public_explicit_present,base distance,x1.00,same as B until an AI candidate is human-approved,OSM centerline proxy; not a surveyed crossing edge
CW27,2025085009,W38609097_S7,38609097,tertiary,냉천로,2.77,public_explicit_present,base distance,x1.00,same as B until an AI candidate is human-approved,OSM centerline proxy; not a surveyed crossing edge
CW28,2025085010,W38609193_S10,38609193,tertiary,현충로,1.26,public_explicit_present,base distance,x1.00,same as B until an AI candidate is human-approved,OSM centerline proxy; not a surveyed crossing edge
CW29,2025085011,W82908648_S0,82908648,service,현충로,0.67,public_explicit_present,base distance,x1.00,same as B until an AI candidate is human-approved,OSM centerline proxy; not a surveyed crossing edge
CW30,2025085027,W82908648_S1,82908648,service,현충로,8.75,public_explicit_present,base distance,x1.00,same as B until an AI candidate is human-approved,OSM centerline proxy; not a surveyed crossing edge
CW31,2025085012,W38609097_S6,38609097,tertiary,냉천로,1.34,public_explicit_present,base distance,x1.00,same as B until an AI candidate is human-approved,OSM centerline proxy; not a surveyed crossing edge
CW32,2025085025,W82908648_S0,82908648,service,현충로,1.42,public_explicit_present,base distance,x1.00,same as B until an AI candidate is human-approved,OSM centerline proxy; not a surveyed crossing edge
CW33,2025085001,W379904040_S0,379904040,residential,냉천로98번길,0.67,public_explicit_risk,base distance,block,same as B until an AI candidate is human-approved,OSM centerline proxy; not a surveyed crossing edge
CW34,2025085002,W38609097_S2,38609097,tertiary,냉천로,1.29,public_explicit_present,base distance,x1.00,same as B until an AI candidate is human-approved,OSM centerline proxy; not a surveyed crossing edge
CW35,2025085003,W38609212_S6,38609212,tertiary,소곡로,1.14,public_explicit_present,base distance,x1.00,same as B until an AI candidate is human-approved,OSM centerline proxy; not a surveyed crossing edge
CW36,2025085005,W814055256_S6,814055256,residential,소곡로,0.6,public_explicit_present,base distance,x1.00,same as B until an AI candidate is human-approved,OSM centerline proxy; not a surveyed crossing edge
CW37,2025085004,W38609097_S1,38609097,tertiary,냉천로,0.45,public_explicit_present,base distance,x1.00,same as B until an AI candidate is human-approved,OSM centerline proxy; not a surveyed crossing edge
CW38,2025085007,W814055256_S6,814055256,residential,소곡로,3.15,public_explicit_present,base distance,x1.00,same as B until an AI candidate is human-approved,OSM centerline proxy; not a surveyed crossing edge
CW39,2025085006,W814055256_S6,814055256,residential,소곡로,9.52,public_explicit_present,base distance,x1.00,same as B until an AI candidate is human-approved,OSM centerline proxy; not a surveyed crossing edge
CW40,2025085008,W814055256_S6,814055256,residential,소곡로,3.56,public_explicit_present,base distance,x1.00,same as B until an AI candidate is human-approved,OSM centerline proxy; not a surveyed crossing edge
