sample_id,management_id,target_lat,target_lon,panoid,pano_lat,pano_lon,pano_distance_m,target_bearing_deg,pano_angle_deg,shot_date,shot_tool,street_name,img_path,roadview_link,resolved_url,node_url,contact_path,status
CW01,2024121199,37.40242493,126.9226883,1202971200,37.4024623687698,126.922765149926,7.96,238.5,327.8,2025-11-17 14:28:24,202,태평로,/2025/11/9149836/2_104077_9149836_20251117052824,"https://map.kakao.com/link/roadview/37.4024249,126.9226883",https://map.kakao.com/?panoid=1202971200&pan=327.8&zoom=0&map_type=TYPE_MAP&map_attribute=ROADVIEW&urlX=482904.0&urlY=1084204.0,https://rv.map.kakao.com/roadview-search/v2/node/1202971200?SERVICE=csspano,/workspace/scratch/0ad8d7d5b1e3/onway_corridor_mvp/roadview_evidence/CW01/contact.jpg,downloaded
CW02,2024121207,37.40225438,126.9216164,1203476225,37.4021803934224,126.921464342594,15.75,58.5,326.4,2025-12-01 13:09:30,202,만안로,/2025/12/9150040/2_102692_9150040_20251201040930,"https://map.kakao.com/link/roadview/37.4022544,126.9216164",https://map.kakao.com/?panoid=1203476225&pan=326.4&zoom=0&map_type=TYPE_MAP&map_attribute=ROADVIEW&urlX=482616.0&urlY=1084126.0,https://rv.map.kakao.com/roadview-search/v2/node/1203476225?SERVICE=csspano,/workspace/scratch/0ad8d7d5b1e3/onway_corridor_mvp/roadview_evidence/CW02/contact.jpg,downloaded
CW03,2024121198,37.40302041,126.9222916,1202971207,37.4029954975179,126.922344452367,5.43,300.7,327.3,2025-11-17 14:28:34,202,태평로,/2025/11/9149836/2_104084_9149836_20251117052834,"https://map.kakao.com/link/roadview/37.4030204,126.9222916",https://map.kakao.com/?panoid=1202971207&pan=327.3&zoom=0&map_type=TYPE_MAP&map_attribute=ROADVIEW&urlX=482811.0&urlY=1084352.0,https://rv.map.kakao.com/roadview-search/v2/node/1202971207?SERVICE=csspano,/workspace/scratch/0ad8d7d5b1e3/onway_corridor_mvp/roadview_evidence/CW03/contact.jpg,downloaded
CW04,2024121191,37.40225822,126.9214135,1203476229,37.4022560370947,126.921401015828,1.13,77.6,326.3,2025-12-01 13:09:31,202,만안로,/2025/12/9150040/2_102693_9150040_20251201040931,"https://map.kakao.com/link/roadview/37.4022582,126.9214135",https://map.kakao.com/?panoid=1203476229&pan=326.3&zoom=0&map_type=TYPE_MAP&map_attribute=ROADVIEW&urlX=482602.0&urlY=1084147.0,https://rv.map.kakao.com/roadview-search/v2/node/1203476229?SERVICE=csspano,/workspace/scratch/0ad8d7d5b1e3/onway_corridor_mvp/roadview_evidence/CW04/contact.jpg,downloaded
CW05,2024121201,37.40217779,126.9229561,1202971196,37.4021597821288,126.923004898361,4.75,294.9,327.5,2025-11-17 14:28:18,202,태평로,/2025/11/9149836/2_104073_9149836_20251117052818,"https://map.kakao.com/link/roadview/37.4021778,126.9229561",https://map.kakao.com/?panoid=1202971196&pan=327.5&zoom=0&map_type=TYPE_MAP&map_attribute=ROADVIEW&urlX=482957.0&urlY=1084120.0,https://rv.map.kakao.com/roadview-search/v2/node/1202971196?SERVICE=csspano,/workspace/scratch/0ad8d7d5b1e3/onway_corridor_mvp/roadview_evidence/CW05/contact.jpg,downloaded
CW06,2024121072,37.40180602,126.921626,1203482543,37.4017443775739,126.921582257068,7.87,29.4,57.9,2025-12-01 14:54:27,202,만안로,/2025/12/9150040/2_104447_9150040_20251201055427,"https://map.kakao.com/link/roadview/37.4018060,126.9216260",https://map.kakao.com/?panoid=1203482543&pan=57.9&zoom=0&map_type=TYPE_MAP&map_attribute=ROADVIEW&urlX=482642.0&urlY=1084005.0,https://rv.map.kakao.com/roadview-search/v2/node/1203482543?SERVICE=csspano,/workspace/scratch/0ad8d7d5b1e3/onway_corridor_mvp/roadview_evidence/CW06/contact.jpg,downloaded
CW07,2024121209,37.40173706,126.9217644,1203476201,37.4017337388158,126.921844293025,7.07,273.0,325.8,2025-12-01 13:09:25,202,만안로,/2025/12/9150040/2_102686_9150040_20251201040925,"https://map.kakao.com/link/roadview/37.4017371,126.9217644",https://map.kakao.com/?panoid=1203476201&pan=325.8&zoom=0&map_type=TYPE_MAP&map_attribute=ROADVIEW&urlX=482700.0&urlY=1084002.0,https://rv.map.kakao.com/roadview-search/v2/node/1203476201?SERVICE=csspano,/workspace/scratch/0ad8d7d5b1e3/onway_corridor_mvp/roadview_evidence/CW07/contact.jpg,downloaded
CW08,2024121206,37.40153402,126.9234847,1202971188,37.4015546161051,126.923497942413,2.57,207.1,326.1,2025-11-17 14:28:06,202,태평로,/2025/11/9149836/2_104065_9149836_20251117052806,"https://map.kakao.com/link/roadview/37.4015340,126.9234847",https://map.kakao.com/?panoid=1202971188&pan=326.1&zoom=0&map_type=TYPE_MAP&map_attribute=ROADVIEW&urlX=483066.0&urlY=1083952.0,https://rv.map.kakao.com/roadview-search/v2/node/1202971188?SERVICE=csspano,/workspace/scratch/0ad8d7d5b1e3/onway_corridor_mvp/roadview_evidence/CW08/contact.jpg,downloaded
CW09,2024121203,37.40126888,126.9222862,1203476176,37.4013015171017,126.922251329891,4.76,139.7,319.4,2025-12-01 13:09:19,202,만안로,/2025/12/9150040/2_102680_9150040_20251201040919,"https://map.kakao.com/link/roadview/37.4012689,126.9222862",https://map.kakao.com/?panoid=1203476176&pan=319.4&zoom=0&map_type=TYPE_MAP&map_attribute=ROADVIEW&urlX=482790.0&urlY=1083882.0,https://rv.map.kakao.com/roadview-search/v2/node/1203476176?SERVICE=csspano,/workspace/scratch/0ad8d7d5b1e3/onway_corridor_mvp/roadview_evidence/CW09/contact.jpg,downloaded
CW10,2024121208,37.40125246,126.9237238,1202971184,37.4012484238436,126.923737688659,1.31,290.1,327.6,2025-11-17 14:28:00,202,태평로,/2025/11/9149836/2_104061_9149836_20251117052800,"https://map.kakao.com/link/roadview/37.4012525,126.9237238",https://map.kakao.com/?panoid=1202971184&pan=327.6&zoom=0&map_type=TYPE_MAP&map_attribute=ROADVIEW&urlX=483119.0&urlY=1083867.0,https://rv.map.kakao.com/roadview-search/v2/node/1202971184?SERVICE=csspano,/workspace/scratch/0ad8d7d5b1e3/onway_corridor_mvp/roadview_evidence/CW10/contact.jpg,downloaded
CW11,2024121196,37.40103172,126.9227142,1202874755,37.4009665331887,126.922549839166,16.23,63.5,320.5,2025-11-18 14:46:16,202,만안로,/2025/11/9149854/2_103415_9149854_20251118054616,"https://map.kakao.com/link/roadview/37.4010317,126.9227142",https://map.kakao.com/?panoid=1202874755&pan=320.5&zoom=0&map_type=TYPE_MAP&map_attribute=ROADVIEW&urlX=482856.0&urlY=1083789.0,https://rv.map.kakao.com/roadview-search/v2/node/1202874755?SERVICE=csspano,/workspace/scratch/0ad8d7d5b1e3/onway_corridor_mvp/roadview_evidence/CW11/contact.jpg,downloaded
CW12,2024121197,37.40100243,126.9226606,1202874755,37.4009665331887,126.922549839166,10.57,67.8,320.5,2025-11-18 14:46:16,202,만안로,/2025/11/9149854/2_103415_9149854_20251118054616,"https://map.kakao.com/link/roadview/37.4010024,126.9226606",https://map.kakao.com/?panoid=1202874755&pan=320.5&zoom=0&map_type=TYPE_MAP&map_attribute=ROADVIEW&urlX=482856.0&urlY=1083789.0,https://rv.map.kakao.com/roadview-search/v2/node/1202874755?SERVICE=csspano,/workspace/scratch/0ad8d7d5b1e3/onway_corridor_mvp/roadview_evidence/CW12/contact.jpg,downloaded
CW13,2024121190,37.400866,126.9218769,1202871529,37.4008651551786,126.921845195084,2.8,88.1,231.4,2025-11-18 11:52:27,202,안양로314번길,/2025/11/9149854/2_101597_9149854_20251118025227,"https://map.kakao.com/link/roadview/37.4008660,126.9218769",https://map.kakao.com/?panoid=1202871529&pan=231.4&zoom=0&map_type=TYPE_MAP&map_attribute=ROADVIEW&urlX=482700.0&urlY=1083761.0,https://rv.map.kakao.com/roadview-search/v2/node/1202871529?SERVICE=csspano,/workspace/scratch/0ad8d7d5b1e3/onway_corridor_mvp/roadview_evidence/CW13/contact.jpg,downloaded
CW14,2024120086,37.39955921,126.9238808,1202874714,37.3995438151831,126.923929152638,4.6,291.8,322.6,2025-11-18 14:45:30,202,만안로,/2025/11/9149854/2_103395_9149854_20251118054530,"https://map.kakao.com/link/roadview/37.3995592,126.9238808",https://map.kakao.com/?panoid=1202874714&pan=322.6&zoom=0&map_type=TYPE_MAP&map_attribute=ROADVIEW&urlX=483161.0&urlY=1083394.0,https://rv.map.kakao.com/roadview-search/v2/node/1202874714?SERVICE=csspano,/workspace/scratch/0ad8d7d5b1e3/onway_corridor_mvp/roadview_evidence/CW14/contact.jpg,downloaded
