od_id,origin,destination,scenario,official_status,candidate_block_samples,candidate_block_proxy_edges,b_route_distance_m,cstar_route_available,cstar_route_distance_m,distance_delta_vs_b_m,distance_delta_vs_b_pct,route_changed_vs_b,candidate_edges_used_by_b,interpretation
OD01,북부 서측 표본(CW04),중북부 동측 표본(CW20),C* 미승인 AI후보 5개 전부 승인 가정,비공식 스트레스테스트; 실제 C 아님,CW01;CW04;CW10;CW13;CW18,W318729204_S2;W38609253_S0;W589960556_S5;W589960556_S7;W915477947_S2,1115.8,Y,1266.4,150.6,13.49,Y,1,사람 승인 전 의사결정용 민감도 분석이며 경로 안내에 사용 금지
OD02,안양청년1번가,중북부 동측 표본(CW20),C* 미승인 AI후보 5개 전부 승인 가정,비공식 스트레스테스트; 실제 C 아님,CW01;CW04;CW10;CW13;CW18,W318729204_S2;W38609253_S0;W589960556_S5;W589960556_S7;W915477947_S2,656.2,Y,656.2,0.0,0.0,N,0,사람 승인 전 의사결정용 민감도 분석이며 경로 안내에 사용 금지
OD03,중북부 서측 표본(CW13),중북부 동측 표본(CW20),C* 미승인 AI후보 5개 전부 승인 가정,비공식 스트레스테스트; 실제 C 아님,CW01;CW04;CW10;CW13;CW18,W318729204_S2;W38609253_S0;W589960556_S5;W589960556_S7;W915477947_S2,948.7,Y,1012.9,64.2,6.77,Y,1,사람 승인 전 의사결정용 민감도 분석이며 경로 안내에 사용 금지
OD04,북부 동측 표본(CW10),중북부 동측 표본(CW20),C* 미승인 AI후보 5개 전부 승인 가정,비공식 스트레스테스트; 실제 C 아님,CW01;CW04;CW10;CW13;CW18,W318729204_S2;W38609253_S0;W589960556_S5;W589960556_S7;W915477947_S2,1072.1,Y,1551.7,479.6,44.74,Y,1,사람 승인 전 의사결정용 민감도 분석이며 경로 안내에 사용 금지
OD05,안양역,중북부 동측 표본(CW20),C* 미승인 AI후보 5개 전부 승인 가정,비공식 스트레스테스트; 실제 C 아님,CW01;CW04;CW10;CW13;CW18,W318729204_S2;W38609253_S0;W589960556_S5;W589960556_S7;W915477947_S2,1220.8,Y,1402.9,182.1,14.92,Y,1,사람 승인 전 의사결정용 민감도 분석이며 경로 안내에 사용 금지
OD06,북부 서측 표본(CW04),남부 동측 표본(CW35),C* 미승인 AI후보 5개 전부 승인 가정,비공식 스트레스테스트; 실제 C 아님,CW01;CW04;CW10;CW13;CW18,W318729204_S2;W38609253_S0;W589960556_S5;W589960556_S7;W915477947_S2,1754.3,Y,1911.6,157.3,8.96,Y,1,사람 승인 전 의사결정용 민감도 분석이며 경로 안내에 사용 금지
OD07,북부 서측 표본(CW04),공공데이터 위험 표본(CW33),C* 미승인 AI후보 5개 전부 승인 가정,비공식 스트레스테스트; 실제 C 아님,CW01;CW04;CW10;CW13;CW18,W318729204_S2;W38609253_S0;W589960556_S5;W589960556_S7;W915477947_S2,1707.6,Y,1864.9,157.3,9.21,Y,1,사람 승인 전 의사결정용 민감도 분석이며 경로 안내에 사용 금지
OD08,북부 서측 표본(CW04),남부 서측 표본(CW32),C* 미승인 AI후보 5개 전부 승인 가정,비공식 스트레스테스트; 실제 C 아님,CW01;CW04;CW10;CW13;CW18,W318729204_S2;W38609253_S0;W589960556_S5;W589960556_S7;W915477947_S2,1757.1,Y,1914.4,157.3,8.95,Y,1,사람 승인 전 의사결정용 민감도 분석이며 경로 안내에 사용 금지
OD09,북부 서측 표본(CW04),중남부 동측 표본(CW28),C* 미승인 AI후보 5개 전부 승인 가정,비공식 스트레스테스트; 실제 C 아님,CW01;CW04;CW10;CW13;CW18,W318729204_S2;W38609253_S0;W589960556_S5;W589960556_S7;W915477947_S2,1656.1,Y,1813.4,157.3,9.5,Y,1,사람 승인 전 의사결정용 민감도 분석이며 경로 안내에 사용 금지
OD10,중북부 서측 표본(CW13),남부 동측 표본(CW35),C* 미승인 AI후보 5개 전부 승인 가정,비공식 스트레스테스트; 실제 C 아님,CW01;CW04;CW10;CW13;CW18,W318729204_S2;W38609253_S0;W589960556_S5;W589960556_S7;W915477947_S2,1591.7,Y,1655.9,64.2,4.03,Y,1,사람 승인 전 의사결정용 민감도 분석이며 경로 안내에 사용 금지
