sample_id,management_id,area,lat,lon,crosswalk_length_m,crosswalk_width_m,public_curb_lowering,public_tactile,public_state,corridor_distance_m,corridor_chainage_m,osm_proxy_edge_id,osm_way_id,osm_highway,osm_road_name,osm_snap_distance_m,geometry_quality,double_review_crosswalk,roadview_center_url
CW01,2024121199,안양1동,37.40242493,126.9226883,9.08,4.98,,,unknown,28.12,0.0,W589960556_S7,589960556,residential,태평로,5.35,provisional_high,True,"https://map.kakao.com/link/roadview/37.4024249,126.9226883"
CW02,2024121207,안양1동,37.40225438,126.9216164,7.16,4.12,,,unknown,78.24,0.0,W844180368_S0,844180368,service,,0.64,provisional_high,False,"https://map.kakao.com/link/roadview/37.4022544,126.9216164"
CW03,2024121198,안양1동,37.40302041,126.9222916,7.02,6.48,,,unknown,90.38,0.0,W589960556_S7,589960556,residential,태평로,3.4,provisional_high,True,"https://map.kakao.com/link/roadview/37.4030204,126.9222916"
CW04,2024121191,안양1동,37.40225822,126.9214135,14.92,14.37,,,unknown,96.18,0.0,W915477947_S2,915477947,tertiary,만안로,4.72,provisional_high,False,"https://map.kakao.com/link/roadview/37.4022582,126.9214135"
CW05,2024121201,안양1동,37.40217779,126.9229561,8.25,7.71,,,unknown,39.13,10.83,W589960556_S6,589960556,residential,태평로,0.47,provisional_high,True,"https://map.kakao.com/link/roadview/37.4021778,126.9229561"
CW06,2024121072,안양1동,37.40180602,126.921626,11.1,7.96,,,unknown,83.43,33.29,W837321098_S0,837321098,residential,만안로,1.4,provisional_high,False,"https://map.kakao.com/link/roadview/37.4018060,126.9216260"
CW07,2024121209,안양1동,37.40173706,126.9217644,6.76,6.05,,,unknown,72.51,42.71,W318729249_S0,318729249,tertiary,만안로223번길,3.53,provisional_high,True,"https://map.kakao.com/link/roadview/37.4017371,126.9217644"
CW08,2024121206,안양1동,37.40153402,126.9234847,7.25,6.72,,,unknown,74.34,88.36,W589960556_S6,589960556,residential,태평로,0.44,provisional_high,False,"https://map.kakao.com/link/roadview/37.4015340,126.9234847"
CW09,2024121203,안양1동,37.40126888,126.9222862,8.59,7.16,,,unknown,34.9,100.96,W554922640_S1,554922640,tertiary,만안로,0.58,provisional_high,True,"https://map.kakao.com/link/roadview/37.4012689,126.9222862"
CW10,2024121208,안양1동,37.40125246,126.9237238,9.43,8.03,,,unknown,90.43,122.37,W589960556_S5,589960556,residential,태평로,1.35,provisional_high,False,"https://map.kakao.com/link/roadview/37.4012525,126.9237238"
CW11,2024121196,안양1동,37.40103172,126.9227142,4.57,4.56,,,unknown,1.55,132.7,W837321092_S6,837321092,service,,4.77,provisional_high,False,"https://map.kakao.com/link/roadview/37.4010317,126.9227142"
CW12,2024121197,안양1동,37.40100243,126.9226606,3.39,2.87,,,unknown,6.73,135.17,W837321092_S6,837321092,service,,0.96,provisional_high,True,"https://map.kakao.com/link/roadview/37.4010024,126.9226606"
CW13,2024121190,안양1동,37.400866,126.9218769,12.89,11.18,,,unknown,77.54,139.38,W318729204_S2,318729204,tertiary,,1.68,provisional_high,False,"https://map.kakao.com/link/roadview/37.4008660,126.9218769"
CW14,2024120086,안양1동,37.39955921,126.9238808,16.2,15.79,,,unknown,75.28,309.44,W318729248_S38,318729248,tertiary,만안로,0.47,provisional_high,True,"https://map.kakao.com/link/roadview/37.3995592,126.9238808"
CW15,2024122521,안양1동,37.39838246,126.9242529,14.47,12.5,,,unknown,86.86,444.55,W380073444_S0,380073444,tertiary,일번가지하차도,0.73,provisional_high,False,"https://map.kakao.com/link/roadview/37.3983825,126.9242529"
CW16,2024122517,안양1동,37.39758646,126.9227402,18.19,12.5,,,unknown,60.02,508.32,W863717799_S8,863717799,tertiary,장내로,1.36,provisional_high,True,"https://map.kakao.com/link/roadview/37.3975865,126.9227402"
CW17,2024122512,안양1동,37.39670022,126.9233629,7.37,6.22,,,unknown,22.55,614.27,W380063841_S0,380063841,residential,안양로268번길,0.19,provisional_high,False,"https://map.kakao.com/link/roadview/37.3967002,126.9233629"
CW18,2024122514,안양1동,37.39585333,126.9240758,9.32,8.15,,,unknown,23.52,717.3,W38609253_S0,38609253,residential,안양로258번길,0.86,provisional_high,True,"https://map.kakao.com/link/roadview/37.3958533,126.9240758"
CW19,2024120083,안양1동,37.39567724,126.9240285,23.32,19.29,,,unknown,16.07,735.76,W38609408_S8,38609408,tertiary,안양로,0.55,provisional_high,False,"https://map.kakao.com/link/roadview/37.3956772,126.9240285"
CW20,2024120362,안양1동,37.39440509,126.9251215,22.73,18.36,,,unknown,85.24,896.76,W38609408_S9,38609408,tertiary,안양로,2.18,provisional_high,True,"https://map.kakao.com/link/roadview/37.3944051,126.9251215"
CW21,2025085034,안양1동,37.39307064,126.923197,8.71,6.0,있음,있음,public_explicit_present,115.2,999.48,W38609292_S2,38609292,tertiary,삼덕로,0.34,provisional_high,True,"https://map.kakao.com/link/roadview/37.3930706,126.9231970"
CW22,2025085029,안양1동,37.39217999,126.9236939,15.9,5.96,있음,있음,public_explicit_present,95.98,1105.57,W38609097_S14,38609097,tertiary,냉천로,4.12,provisional_high,False,"https://map.kakao.com/link/roadview/37.3921800,126.9236939"
CW23,2025085023,안양1동,37.39213835,126.9238653,5.82,2.96,있음,있음,public_explicit_present,82.35,1113.65,W379904072_S3,379904072,residential,안양로223번길,0.55,provisional_high,True,"https://map.kakao.com/link/roadview/37.3921384,126.9238653"
CW24,2025085028,안양1동,37.39205273,126.9236588,13.95,2.97,있음,있음,public_explicit_present,102.34,1118.49,W38609097_S14,38609097,tertiary,냉천로,14.39,provisional_high,False,"https://map.kakao.com/link/roadview/37.3920527,126.9236588"
CW25,2025085030,안양1동,37.39202055,126.9238204,16.26,5.99,있음,있음,public_explicit_present,89.31,1125.35,W38609097_S13,38609097,tertiary,냉천로,4.39,provisional_high,True,"https://map.kakao.com/link/roadview/37.3920205,126.9238204"
CW26,2025085031,안양1동,37.39133025,126.9244155,11.05,5.99,있음,있음,public_explicit_present,56.37,1212.0,W38609097_S10,38609097,tertiary,냉천로,3.09,provisional_high,False,"https://map.kakao.com/link/roadview/37.3913303,126.9244155"
CW27,2025085009,안양1동,37.39049146,126.9251204,13.75,5.96,있음,있음,public_explicit_present,17.92,1316.9,W38609097_S7,38609097,tertiary,냉천로,2.77,provisional_high,True,"https://map.kakao.com/link/roadview/37.3904915,126.9251204"
CW28,2025085010,안양1동,37.3904547,126.9253042,13.63,6.0,있음,있음,public_explicit_present,3.1,1324.72,W38609193_S10,38609193,tertiary,현충로,1.26,provisional_high,False,"https://map.kakao.com/link/roadview/37.3904547,126.9253042"
CW29,2025085011,안양1동,37.39035668,126.9250655,11.08,5.93,있음,있음,public_explicit_present,26.18,1330.21,W82908648_S0,82908648,service,현충로,0.67,provisional_high,True,"https://map.kakao.com/link/roadview/37.3903567,126.9250655"
CW30,2025085027,안양1동,37.39016544,126.9241116,9.19,4.09,있음,있음,public_explicit_present,113.15,1330.64,W82908648_S1,82908648,service,현충로,8.75,provisional_high,False,"https://map.kakao.com/link/roadview/37.3901654,126.9241116"
CW31,2025085012,안양1동,37.39034431,126.9252755,13.11,5.94,있음,있음,public_explicit_present,8.47,1335.96,W38609097_S6,38609097,tertiary,냉천로,1.34,provisional_high,False,"https://map.kakao.com/link/roadview/37.3903443,126.9252755"
CW32,2025085025,안양1동,37.39008527,126.9242767,8.68,5.87,있음,있음,public_explicit_present,101.08,1342.73,W82908648_S0,82908648,service,현충로,1.42,provisional_high,True,"https://map.kakao.com/link/roadview/37.3900853,126.9242767"
CW33,2025085001,안양1동,37.389999,126.9254801,4.45,1.97,있음,없음,public_explicit_risk,0.01,1377.34,W379904040_S0,379904040,residential,냉천로98번길,0.67,provisional_high,True,"https://map.kakao.com/link/roadview/37.3899990,126.9254801"
CW34,2025085002,안양1동,37.38963959,126.92555,12.02,6.05,있음,있음,public_explicit_present,40.21,1377.34,W38609097_S2,38609097,tertiary,냉천로,1.29,provisional_high,True,"https://map.kakao.com/link/roadview/37.3896396,126.9255500"
CW35,2025085003,안양1동,37.38960031,126.9256616,8.55,2.0,있음,있음,public_explicit_present,46.91,1377.34,W38609212_S6,38609212,tertiary,소곡로,1.14,provisional_high,False,"https://map.kakao.com/link/roadview/37.3896003,126.9256616"
CW36,2025085005,안양1동,37.38949465,126.9254971,10.35,5.99,있음,있음,public_explicit_present,55.77,1377.34,W814055256_S6,814055256,residential,소곡로,0.6,provisional_high,True,"https://map.kakao.com/link/roadview/37.3894947,126.9254971"
CW37,2025085004,안양1동,37.38944098,126.925658,8.69,4.98,있음,있음,public_explicit_present,63.66,1377.34,W38609097_S1,38609097,tertiary,냉천로,0.45,provisional_high,False,"https://map.kakao.com/link/roadview/37.3894410,126.9256580"
CW38,2025085007,안양1동,37.38927498,126.9251698,8.17,4.01,있음,있음,public_explicit_present,84.6,1377.34,W814055256_S6,814055256,residential,소곡로,3.15,provisional_high,True,"https://map.kakao.com/link/roadview/37.3892750,126.9251698"
CW39,2025085006,안양1동,37.38927212,126.925062,8.45,2.98,있음,있음,public_explicit_present,88.45,1377.34,W814055256_S6,814055256,residential,소곡로,9.52,provisional_high,False,"https://map.kakao.com/link/roadview/37.3892721,126.9250620"
CW40,2025085008,안양1동,37.38917431,126.925032,8.15,4.0,있음,있음,public_explicit_present,99.4,1377.34,W814055256_S6,814055256,residential,소곡로,3.56,provisional_high,False,"https://map.kakao.com/link/roadview/37.3891743,126.9250320"
